GHO,PUBLISHSTATE,YEAR,REGION,COUNTRY,SPONSORSHIPORIGINATOR,Display Value,Numeric,Low,High,Comments
SA_0000001538,PUBLISHED,2012,AMR,ATG,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,ARG,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,ARG,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,ARG,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ARM,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ARM,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ARM,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,AUS,SA_FROM_BEER_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,WPR,AUS,SA_FROM_WINE_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,WPR,AUS,SA_FROM_SPIRITS_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,AUT,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,AUT,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,AUT,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,AZE,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,AZE,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,AZE,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BHS,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AMR,BHS,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AMR,BHS,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,SEAR,BGD,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,SEAR,BGD,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,SEAR,BGD,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AMR,BRB,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BRB,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BRB,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BLR,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BLR,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BLR,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BEL,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BEL,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BEL,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BLZ,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BLZ,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BLZ,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BEN,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BEN,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BEN,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,SEAR,BTN,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,SEAR,BTN,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,SEAR,BTN,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BOL,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BOL,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BOL,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BIH,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BIH,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BIH,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BWA,SA_FROM_BEER_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BWA,SA_FROM_WINE_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BWA,SA_FROM_SPIRITS_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BRA,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BRA,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,BRA,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,BRN,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,WPR,BRN,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,WPR,BRN,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,BGR,SA_FROM_BEER_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BGR,SA_FROM_WINE_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,BGR,SA_FROM_SPIRITS_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BFA,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BFA,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BFA,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BDI,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BDI,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,BDI,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,KHM,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,KHM,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,KHM,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CMR,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CMR,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CMR,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,CAN,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,CAN,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,CAN,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CPV,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CPV,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CPV,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CAF,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CAF,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CAF,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,TCD,SA_FROM_BEER_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,AFR,TCD,SA_FROM_WINE_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,AFR,TCD,SA_FROM_SPIRITS_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,AMR,CHL,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,CHL,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,CHL,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,CHN,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,CHN,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,CHN,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,COL,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,COL,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,COL,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COM,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COM,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COM,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COG,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COG,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COG,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,COK,SA_FROM_BEER_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,COK,SA_FROM_WINE_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,COK,SA_FROM_SPIRITS_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,CRI,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,CRI,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,CRI,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CIV,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CIV,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,CIV,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,HRV,SA_FROM_BEER_INDUSTRY,voluntary/self-voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,HRV,SA_FROM_WINE_INDUSTRY,voluntary/self-voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,HRV,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AMR,CUB,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AMR,CUB,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AMR,CUB,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,CYP,SA_FROM_BEER_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,CYP,SA_FROM_WINE_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,CYP,SA_FROM_SPIRITS_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,CZE,SA_FROM_BEER_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,CZE,SA_FROM_WINE_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,CZE,SA_FROM_SPIRITS_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COD,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COD,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,COD,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,DNK,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,DNK,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,DNK,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AMR,DMA,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,DMA,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,DMA,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,DOM,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,DOM,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,DOM,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,ECU,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,ECU,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,ECU,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EMR,EGY,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EMR,EGY,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EMR,EGY,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AMR,SLV,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,SLV,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,SLV,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GNQ,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GNQ,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GNQ,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,ERI,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,ERI,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,ERI,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,EST,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,EST,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,EST,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,ETH,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,ETH,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,ETH,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,FJI,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,FJI,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,FJI,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,FIN,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,FIN,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,FIN,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,FRA,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,FRA,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,FRA,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,AFR,GAB,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GAB,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GAB,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GMB,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GMB,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GMB,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,GEO,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,GEO,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,GEO,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,DEU,SA_FROM_BEER_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,DEU,SA_FROM_WINE_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,DEU,SA_FROM_SPIRITS_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,AFR,GHA,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GHA,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GHA,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,GRC,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,GRC,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,GRC,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,GRD,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,GRD,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,GRD,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,GTM,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,GTM,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,GTM,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GIN,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GIN,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GIN,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GNB,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GNB,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AFR,GNB,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,GUY,SA_FROM_BEER_INDUSTRY,voluntary/self-voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,AMR,GUY,SA_FROM_WINE_INDUSTRY,voluntary/self-voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,AMR,GUY,SA_FROM_SPIRITS_INDUSTRY,voluntary/self-voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,AMR,HND,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,HND,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,HND,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,HUN,SA_FROM_BEER_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,HUN,SA_FROM_WINE_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,HUN,SA_FROM_SPIRITS_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,ISL,SA_FROM_BEER_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ISL,SA_FROM_WINE_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ISL,SA_FROM_SPIRITS_INDUSTRY,partial restriction,,,,
SA_0000001538,PUBLISHED,2012,SEAR,IND,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,SEAR,IND,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,SEAR,IND,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,SEAR,IDN,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,SEAR,IDN,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,SEAR,IDN,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EMR,IRN,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EMR,IRN,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EMR,IRN,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EMR,IRQ,SA_FROM_BEER_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EMR,IRQ,SA_FROM_WINE_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EMR,IRQ,SA_FROM_SPIRITS_INDUSTRY,ban,,,,
SA_0000001538,PUBLISHED,2012,EUR,IRL,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,IRL,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,IRL,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ISR,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ISR,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ISR,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,EUR,ITA,SA_FROM_BEER_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,ITA,SA_FROM_WINE_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,EUR,ITA,SA_FROM_SPIRITS_INDUSTRY,voluntary/self-regulated,,,,
SA_0000001538,PUBLISHED,2012,AMR,JAM,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,JAM,SA_FROM_WINE_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,AMR,JAM,SA_FROM_SPIRITS_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,JPN,SA_FROM_BEER_INDUSTRY,no restriction,,,,
SA_0000001538,PUBLISHED,2012,WPR,JPN,SA_FROM_WINE_INDUSTRY,no restriction,,,,
